Date,terminus,dec_yr
2017-04-02,-1.601750547,2017.252778
2017-04-06,-1.553610503,2017.263889
2017-04-07,,2017.266667
2017-04-08,-1.527352298,2017.269444
2017-04-12,-1.5404813999999998,2017.280556
2017-04-14,-1.5098468269999998,2017.286111
2017-04-16,-1.5404813999999998,2017.2916670000002
2017-04-18,,2017.297222
2017-04-20,-1.4266958419999998,2017.3027780000002
2017-04-22,-1.439824945,2017.3083329999997
2017-04-23,,2017.311111
2017-04-24,,2017.313889
2017-04-26,,2017.3194440000002
2017-04-29,-1.63238512,2017.327778
2017-05-06,-1.72428884,2017.3472219999999
2017-05-08,-1.855579869,2017.3527780000002
2017-05-12,-1.8205689280000001,2017.363889
2017-05-14,-1.824945295,2017.3694440000002
2017-05-16,-1.803063457,2017.375
2017-05-18,,2017.3805559999998
2017-05-20,-1.7461706780000001,2017.386111
2017-05-26,-1.728665208,2017.4027780000001
2017-06-01,-1.807439825,2017.4166670000002
2017-06-05,-1.7899343540000001,2017.4277780000002
2017-06-07,,2017.4333329999997
2017-06-10,,2017.4416670000003
2017-06-11,-1.9299781180000002,2017.4444440000002
2017-06-12,,2017.4472219999998
2017-06-13,,2017.45
2017-06-15,-1.947483589,2017.455556
2017-06-21,-1.978118162,2017.4722219999999
2017-06-25,-1.934354486,2017.483333
2017-06-26,,2017.486111
2017-06-28,-1.90809628,2017.4916670000002
2017-06-30,-1.90809628,2017.497222
2017-07-01,-1.90809628,2017.5
2017-07-03,-1.899343545,2017.5055559999998
2017-07-10,-1.833698031,2017.525
2017-07-11,-1.833698031,2017.5277780000001
2017-07-12,,2017.530556
2017-07-13,-1.824945295,2017.5333329999999
2017-07-18,-1.807439825,2017.547222
2017-07-19,-1.807439825,2017.55
2017-07-21,-1.807439825,2017.5555559999998
2017-07-23,-1.79868709,2017.561111
2017-07-25,-1.6936542669999999,2017.5666670000003
2017-07-26,-1.7855579869999998,2017.5694440000002
2017-07-28,-1.737417943,2017.575
2017-07-30,-1.737417943,2017.580556
2017-07-31,-2.01750547,2017.5833329999998
2017-08-02,-2.008752735,2017.5861109999998
2017-08-04,-2.008752735,2017.5916670000001
2017-08-05,-2.008752735,2017.594444
2017-08-06,-1.9956236319999998,2017.5972219999999
2017-08-09,-1.978118162,2017.605556
2017-08-10,-1.978118162,2017.608333
2017-08-12,-1.947483589,2017.613889
2017-08-13,,2017.6166670000002
2017-08-14,-1.991247265,2017.6194440000002
2017-08-15,-1.991247265,2017.622222
2017-08-17,-2.118161926,2017.627778
2017-08-18,-2.135667396,2017.6305559999998
2017-08-24,-2.113785558,2017.6472219999998
2017-08-27,-1.9956236319999998,2017.655556
2017-08-28,,2017.6583329999999
2017-08-29,-1.986870897,2017.661111
2017-08-30,-1.991247265,2017.6638890000002
2017-08-31,,2017.6666670000002
2017-09-03,-1.964989059,2017.672222
2017-09-05,-1.991247265,2017.6777780000002
2017-09-07,,2017.6833329999997
2017-09-08,-1.916849015,2017.686111
2017-09-11,-1.956236324,2017.6944440000002
2017-09-13,-1.886214442,2017.7
2017-09-17,-1.886214442,2017.7111109999998
2017-09-21,-1.79868709,2017.7222219999999
2017-09-23,,2017.7277780000002
2017-09-28,-1.741794311,2017.7416670000002
2017-09-29,-1.741794311,2017.7444440000002
2017-09-30,,2017.747222
2017-10-01,-1.741794311,2017.75
2017-10-03,-1.728665208,2017.7555559999998
2017-10-04,-1.728665208,2017.7583329999998
2017-10-05,-2.052516411,2017.761111
2017-10-11,-2.0437636759999998,2017.7777780000001
2017-10-13,,2017.7833329999999
2017-10-14,,2017.786111
2017-10-15,,2017.7888890000002
2017-10-17,,2017.794444
2017-10-21,,2017.8055559999998
2017-10-23,,2017.811111
2017-10-24,,2017.813889
2017-10-25,,2017.8166670000003
2017-10-27,,2017.8222219999998
2017-10-29,,2017.827778
2017-10-31,,2017.8333329999998
2017-11-02,,2017.8361109999998
2017-11-04,,2017.8416670000001
2017-11-08,,2017.8527780000002
2017-11-10,,2017.858333
2017-11-14,,2017.8694440000002
2017-11-16,,2017.875
2017-11-20,,2017.886111
2017-11-22,,2017.891667
2017-11-26,,2017.9027780000001
2017-11-28,,2017.9083329999999
2017-12-02,,2017.919444
2017-12-04,,2017.925
2017-12-10,,2017.9416670000003
2017-12-14,,2017.952778
2017-12-16,,2017.9583329999998
2017-12-20,,2017.969444
2017-12-22,,2017.975
2017-12-26,,2017.986111
2017-12-27,,2017.988889
2017-12-28,,2017.9916670000002
2018-01-01,,2018.0
2018-01-02,,2018.002778
2018-01-03,,2018.0055559999998
2018-01-05,,2018.011111
2018-01-09,,2018.0222219999998
2018-01-13,,2018.0333329999999
2018-01-14,,2018.036111
2018-01-15,,2018.0388890000002
2018-01-17,,2018.044444
2018-01-19,,2018.05
2018-01-20,,2018.0527780000002
2018-01-21,,2018.0555559999998
2018-01-23,,2018.061111
2018-01-25,,2018.0666670000003
2018-01-26,,2018.0694440000002
2018-01-27,,2018.0722219999998
2018-01-29,,2018.077778
2018-01-31,,2018.0833329999998
2018-02-01,,2018.0833329999998
2018-02-02,,2018.0861109999998
2018-02-04,,2018.0916670000001
2018-02-06,,2018.0972219999999
2018-02-07,,2018.1
2018-02-08,-1.50547046,2018.1027780000002
2018-02-11,-1.470459519,2018.111111
2018-02-12,,2018.113889
2018-02-13,-1.448577681,2018.1166670000002
2018-02-14,,2018.1194440000002
2018-02-16,-1.448577681,2018.125
2018-02-18,-1.43107221,2018.1305559999998
2018-02-20,,2018.136111
2018-02-24,,2018.1472219999998
2018-02-26,,2018.1527780000001
2018-02-28,-1.3610503280000001,2018.1583329999999
2018-03-02,-1.3610503280000001,2018.169444
2018-03-04,,2018.175
2018-03-07,-1.2778993440000002,2018.1833329999997
2018-03-08,,2018.186111
2018-03-10,,2018.1916670000003
2018-03-13,-1.2516411379999999,2018.2
2018-03-14,,2018.202778
2018-03-15,-1.2516411379999999,2018.205556
2018-03-20,-1.194748359,2018.219444
2018-03-22,,2018.225
2018-03-26,,2018.236111
2018-03-28,,2018.2416670000002
2018-03-30,-1.111597374,2018.247222
2018-04-01,-1.111597374,2018.25
2018-04-02,-1.111597374,2018.252778
2018-04-03,,2018.2555559999998
2018-04-06,-1.054704595,2018.263889
2018-04-07,-1.054704595,2018.266667
2018-04-09,,2018.2722219999998
2018-04-15,,2018.2888890000002
2018-04-17,-0.980306346,2018.294444
2018-04-21,,2018.3055559999998
2018-04-24,-0.9102844640000001,2018.313889
2018-04-25,,2018.3166670000003
2018-04-26,-1.150984683,2018.3194440000002
2018-04-27,-1.150984683,2018.3222219999998
2018-04-29,-1.150984683,2018.327778
2018-05-01,-1.089715536,2018.3333329999998
2018-05-04,-1.089715536,2018.3416670000001
2018-05-05,-1.072210066,2018.344444
2018-05-06,-1.085339168,2018.3472219999999
2018-05-07,-1.085339168,2018.35
2018-05-09,,2018.355556
2018-05-15,,2018.372222
2018-05-16,-1.111597374,2018.375
2018-05-19,-1.164113786,2018.3833329999998
2018-05-21,-1.142231947,2018.388889
2018-05-25,,2018.4
2018-05-27,-1.120350109,2018.405556
2018-05-31,-1.089715536,2018.4166670000002
2018-06-01,-1.089715536,2018.4166670000002
2018-06-08,-1.225382932,2018.436111
2018-06-12,,2018.4472219999998
2018-06-14,,2018.452778
2018-06-16,-1.190371991,2018.4583329999998
2018-06-18,-1.1816192559999998,2018.463889
2018-06-20,-1.1772428879999999,2018.469444
2018-06-22,-1.1334792120000001,2018.475
2018-06-24,,2018.480556
2018-06-26,,2018.486111
2018-06-30,-1.3785557990000001,2018.497222
2018-07-02,,2018.502778
2018-07-06,-1.33916849,2018.513889
2018-07-08,,2018.519444
2018-07-11,-1.33916849,2018.5277780000001
2018-07-12,,2018.530556
2018-07-13,-1.334792123,2018.5333329999999
2018-07-14,,2018.536111
2018-07-15,-1.317286652,2018.5388890000002
2018-07-17,-1.6455142230000002,2018.544444
2018-07-18,-1.606126915,2018.547222
2018-07-20,,2018.5527780000002
2018-07-23,-1.579868709,2018.561111
2018-07-24,-1.5667396059999998,2018.563889
2018-07-25,-1.571115974,2018.5666670000003
2018-07-26,-1.571115974,2018.5694440000002
2018-07-30,,2018.580556
2018-08-01,,2018.5833329999998
2018-08-04,-1.492341357,2018.5916670000001
2018-08-05,-1.492341357,2018.594444
2018-08-07,-1.4617067830000001,2018.6
2018-08-10,-1.439824945,2018.608333
2018-08-11,,2018.611111
2018-08-12,-1.417943107,2018.613889
2018-08-13,,2018.6166670000002
2018-08-14,-1.6630196940000002,2018.6194440000002
2018-08-15,-1.6630196940000002,2018.622222
2018-08-17,-1.649890591,2018.627778
2018-08-18,-1.636761488,2018.6305559999998
2018-08-19,,2018.6333329999998
2018-08-20,-1.63238512,2018.636111
2018-08-23,,2018.644444
2018-08-25,,2018.65
2018-08-27,-1.549234136,2018.655556
2018-08-29,-1.549234136,2018.661111
2018-08-31,,2018.6666670000002
2018-09-01,-1.518599562,2018.6666670000002
2018-09-04,-1.496717724,2018.675
2018-09-06,,2018.6805559999998
2018-09-10,,2018.6916670000003
2018-09-12,,2018.6972219999998
2018-09-13,-1.5886214440000002,2018.7
2018-09-16,,2018.7083329999998
2018-09-18,-1.5361050330000001,2018.713889
2018-09-19,-1.5361050330000001,2018.7166670000001
2018-09-23,-1.518599562,2018.7277780000002
2018-09-24,,2018.730556
2018-09-26,-1.474835886,2018.736111
2018-09-28,-1.474835886,2018.7416670000002
2018-09-29,-1.474835886,2018.7444440000002
2018-09-30,,2018.747222
2018-10-01,-1.72428884,2018.75
2018-10-03,-1.72428884,2018.7555559999998
2018-10-04,,2018.7583329999998
2018-10-06,,2018.763889
2018-10-10,,2018.775
2018-10-11,-1.7899343540000001,2018.7777780000001
2018-10-12,,2018.780556
2018-10-13,-1.768052516,2018.7833329999999
2018-10-14,-1.768052516,2018.786111
2018-10-16,,2018.7916670000002
2018-10-18,,2018.797222
2018-10-21,-1.72428884,2018.8055559999998
2018-10-22,,2018.8083329999997
2018-10-24,-1.72428884,2018.813889
2018-10-28,-1.6630196940000002,2018.825
2018-10-29,-1.6630196940000002,2018.827778
2018-10-30,,2018.830556
2018-11-02,-1.7461706780000001,2018.8361109999998
2018-11-03,,2018.838889
2018-11-05,,2018.844444
2018-11-06,-1.698030635,2018.8472219999999
2018-11-09,,2018.855556
2018-11-11,,2018.861111
2018-11-15,,2018.872222
2018-11-17,,2018.877778
2018-11-21,,2018.888889
2018-11-27,,2018.905556
2018-11-29,,2018.911111
2018-12-03,,2018.922222
2018-12-05,,2018.9277780000002
2018-12-09,,2018.938889
2018-12-11,,2018.9444440000002
2018-12-13,,2018.95
2018-12-15,,2018.955556
2018-12-16,,2018.9583329999998
2018-12-17,,2018.9611109999998
2018-12-19,,2018.9666670000001
2018-12-21,,2018.9722219999999
2018-12-22,,2018.975
2018-12-23,,2018.9777780000002
2018-12-25,,2018.983333
2018-12-27,,2018.988889
2018-12-28,,2018.9916670000002
2018-12-29,,2018.9944440000002
2018-12-31,,2019.0
2019-01-02,,2019.002778
2019-01-03,,2019.0055559999998
2019-01-04,,2019.0083329999998
2019-01-06,,2019.013889
2019-01-08,,2019.019444
2019-01-09,,2019.0222219999998
2019-01-10,,2019.025
2019-01-12,,2019.030556
2019-01-14,,2019.036111
2019-01-15,,2019.0388890000002
2019-01-16,,2019.0416670000002
2019-01-18,,2019.047222
2019-01-20,,2019.0527780000002
2019-01-21,,2019.0555559999998
2019-01-22,,2019.0583329999997
2019-01-24,,2019.063889
2019-01-25,,2019.0666670000003
2019-01-26,,2019.0694440000002
2019-01-27,,2019.0722219999998
2019-01-28,,2019.075
2019-02-01,,2019.0833329999998
2019-02-03,,2019.088889
2019-02-07,,2019.1
2019-02-08,-1.457330416,2019.1027780000002
2019-02-09,,2019.105556
2019-02-10,-1.457330416,2019.108333
2019-02-11,-1.457330416,2019.111111
2019-02-13,,2019.1166670000002
2019-02-15,,2019.122222
2019-02-19,,2019.1333329999998
2019-02-21,,2019.138889
2019-02-25,,2019.15
2019-02-27,,2019.155556
2019-03-03,,2019.172222
2019-03-05,-1.6761487959999999,2019.1777780000002
2019-03-07,-1.6761487959999999,2019.1833329999997
2019-03-08,-1.6761487959999999,2019.186111
2019-03-09,,2019.188889
2019-03-10,-1.649890591,2019.1916670000003
2019-03-11,,2019.1944440000002
2019-03-15,-1.759299781,2019.205556
2019-03-17,,2019.2111109999998
2019-03-20,-1.728665208,2019.219444
2019-03-21,,2019.2222219999999
2019-03-22,-1.7111597369999998,2019.225
2019-03-23,-1.7111597369999998,2019.2277780000002
2019-03-27,-1.667396061,2019.238889
2019-03-29,-1.667396061,2019.2444440000002
